Quarter,PPNR,Type,Scenario
2009Q3,13167.0,Historical,Baseline
2009Q4,11160.0,Historical,Baseline
2010Q1,11547.0,Historical,Baseline
2010Q2,10470.0,Historical,Baseline
2010Q3,9426.0,Historical,Baseline
2010Q4,10055.0,Historical,Baseline
2011Q1,9226.0,Historical,Baseline
2011Q2,9937.0,Historical,Baseline
2011Q3,8229.0,Historical,Baseline
2011Q4,6931.0,Historical,Baseline
2012Q1,8367.0,Historical,Baseline
2012Q2,7214.0,Historical,Baseline
2012Q3,9775.0,Historical,Baseline
2012Q4,7606.0,Historical,Baseline
2013Q1,9699.0,Historical,Baseline
2014Q3,8671.0,Historical,Baseline
2014Q4,7341.0,Historical,Baseline
2015Q1,9183.0,Historical,Baseline
2015Q2,9312.0,Historical,Baseline
2015Q3,7412.0,Historical,Baseline
2015Q4,8622.0,Historical,Baseline
2016Q1,9402.0,Historical,Baseline
2016Q2,10742.0,Historical,Baseline
2017Q2,10964.0,Historical,Baseline
2017Q3,11008.0,Historical,Baseline
2017Q4,9562.0,Historical,Baseline
2018Q1,11827.0,Historical,Baseline
2018Q2,11782.0,Historical,Baseline
2018Q3,11637.0,Historical,Baseline
2018Q4,10389.0,Historical,Baseline
2019Q1,12728.0,Historical,Baseline
2019Q2,12491.0,Historical,Baseline
2021Q2,12812.0,Historical,Baseline
2021Q3,12584.0,Historical,Baseline
2021Q4,11369.0,Historical,Baseline
2022Q1,11526.0,Historical,Baseline
2022Q2,11966.0,Historical,Baseline
2022Q3,13538.0,Historical,Baseline
2022Q4,15525.0,Historical,Baseline
2023Q1,18242.0,Historical,Baseline
2023Q2,20485.0,Historical,Baseline
2023Q3,18117.0,Historical,Baseline
2023Q4,14088.0,Historical,Baseline
2024Q1,19177.0,Historical,Baseline
2024Q2,26487.0,Historical,Baseline
2024Q3,20089.0,Historical,Baseline
2024Q4,20006.0,Historical,Baseline
2025Q1,21713.0,Historical,Baseline
2025Q2,21133.0,Historical,Baseline
2026Q1,21723.609995756135,Forecast,Baseline
2026Q2,21934.762569967457,Forecast,Baseline
2026Q3,22009.348040944853,Forecast,Baseline
2026Q4,22035.582469119607,Forecast,Baseline
2027Q1,22044.796354105863,Forecast,Baseline
2027Q2,22048.03070525951,Forecast,Baseline
2027Q3,22049.16585186807,Forecast,Baseline
2027Q4,22285.607931376948,Forecast,Baseline
2028Q1,22132.253504520744,Forecast,Baseline
2028Q2,22078.68719932113,Forecast,Baseline
2028Q3,22059.91986909385,Forecast,Baseline
2028Q4,22053.33761301247,Forecast,Baseline
2029Q1,22051.028160801015,Forecast,Baseline
